,Token,Reading,Dict. form,POS,Line,Song ID,Pitch accent
180,からめ,カラメ,からめる,"('動詞', '一般', '*', '*', '下一段-マ行', '連用形-一般')",9,10,"0,3"
181,眠っ,ネムッ,眠る,"('動詞', '一般', '*', '*', '五段-ラ行', '連用形-促音便')",9,10,0
182,た,タ,た,"('助動詞', '*', '*', '*', '助動詞-タ', '終止形-一般')",9,10,1
183,幸せ,シアワセ,幸せ,"('名詞', '普通名詞', '形状詞可能', '*', '*', '*')",9,10,0
184,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",9,10,1
185,思い出さ,オモイダサ,思い出す,"('動詞', '一般', '*', '*', '五段-サ行', '未然形-一般')",10,10,"4,0"
186,せる,セル,せる,"('助動詞', '*', '*', '*', '下一段-サ行', '終止形-一般')",10,10,11
187,流し,ナガシ,流し,"('名詞', '普通名詞', '一般', '*', '*', '*')",10,10,"3,1"
188,唄,ウタ,唄,"('名詞', '普通名詞', '一般', '*', '*', '*')",10,10,2
189,おまえ,オマエ,おまえ,"('代名詞', '*', '*', '*', '*', '*')",11,10,0
190,と,ト,と,"('助詞', '格助詞', '*', '*', '*', '*')",11,10,1
191,呼ば,ヨバ,呼ぶ,"('動詞', '一般', '*', '*', '五段-バ行', '未然形-一般')",11,10,0
192,れ,レ,れる,"('助動詞', '*', '*', '*', '助動詞-レル', '連用形-一般')",11,10,1
193,た,タ,た,"('助動詞', '*', '*', '*', '助動詞-タ', '終止形-一般')",11,10,0
194,気,キ,気,"('名詞', '普通名詞', '一般', '*', '*', '*')",11,10,"1,0"
195,が,ガ,が,"('接続詞', '*', '*', '*', '*', '*')",11,10,0
196,し,シ,き,"('助動詞', '*', '*', '*', '文語助動詞-キ', '連体形-一般')",11,10,0
197,た,タ,た,"('助動詞', '*', '*', '*', '助動詞-タ', '終止形-一般')",11,10,1
198,の,ノ,の,"('助詞', '格助詞', '*', '*', '*', '*')",11,10,0
199,雨,アメ,雨,"('名詞', '普通名詞', '一般', '*', '*', '*')",12,10,0
200,に,ニ,に,"('助詞', '格助詞', '*', '*', '*', '*')",12,10,1
201,にじん,ニジン,にじむ,"('動詞', '一般', '*', '*', '五段-マ行', '連用形-撥音便')",12,10,2
202,だ,ダ,だ,"('助動詞', '*', '*', '*', '助動詞-ダ', '終止形-一般')",12,10,0
203,酒場,サカバ,酒場,"('名詞', '普通名詞', '一般', '*', '*', '*')",12,10,"0,3"
204,の,ノ,の,"('助詞', '格助詞', '*', '*', '*', '*')",12,10,"1,0"
205,小窓,コマド,小窓,"('名詞', '普通名詞', '一般', '*', '*', '*')",12,10,"0,2"
206,あなた,アナタ,あなた,"('代名詞', '*', '*', '*', '*', '*')",13,10,"2,1"
207,なぜ,ナゼ,なぜ,"('副詞', '*', '*', '*', '*', '*')",13,10,1
208,なぜ,ナゼ,なぜ,"('副詞', '*', '*', '*', '*', '*')",13,10,1
